"check_id","qa","description","observed","expected","status"
"CLINICAL_COLUMNS","U07/P1-10","Relevant clinical confounder variables are available","patient_id; Gender; Age at treatment; BRAF mutation; LDH high; Biopsy site; Biopsy type; response","patient_id; Gender; Age at treatment; BRAF mutation; LDH high; Biopsy site; Biopsy type; response","PASS"
"INTERNAL_N","U07/P1-10","Internal cohort size is frozen","36","36","PASS"
"RESPONSE_COUNTS","U07/P1-10","Response-class distribution is verified","NonResponder=14; Responder=22","NonResponder=14; Responder=22","PASS"
"PATIENT_UNIQUENESS","U07","No duplicated internal patient identifiers","0","0","PASS"
"GENDER_ASSESSED","U07/P1-10","Gender distribution assessed by response","               |                 F  M |   NonResponder  7  7 |   Responder    11 11","Descriptive distribution calculable","PASS"
"AGE_ASSESSED","U07/P1-10","Age distribution assessed by response","      response      x.n   x.mean x.median | 1 NonResponder 14.00000 59.64286 60.00000 | 2    Responder 22.00000 61.40909 67.00000","Age summaries calculable for both response classes","PASS"
"BRAF_ASSESSED","U07/P1-10","BRAF mutation distribution assessed","               |                 0  1 <NA> |   NonResponder  7  5    2 |   Responder    12  6    4","BRAF distribution and missingness calculable","PASS"
"LDH_ASSESSED","U07/P1-10","LDH distribution assessed","               |                 0  1 <NA> |   NonResponder  6  6    2 |   Responder    15  4    3","LDH distribution and missingness calculable","PASS"
"BIOPSY_ASSESSED","U07/P1-10","Biopsy-type heterogeneity assessed","Levels: 10 | cells: 20","Biopsy heterogeneity explicitly evaluable","PASS"
"TECHNICAL_BATCH_METADATA","U07/P1-10","Availability of technical batch metadata is explicitly assessed","No explicit technical batch column available","Availability or unavailability documented","PASS"
"BATCH_LIMITATION_DOCUMENTED","U07/P1-10","Absence of batch metadata is not interpreted as absence of batch effects","TRUE","TRUE","PASS"
"EXTERNAL_COHORT_SPECIFIC","P1-10","External cohorts are evaluated separately as primary results","GSE91061; GSE78220","GSE91061 and GSE78220 cohort-specific primary reporting","PASS"
"POOLED_SECONDARY","P1-10","Pooled external result is secondary","secondary_pooled_summary","secondary pooled reporting","PASS"
"CONFOUNDING_DOCUMENTATION","U07/P1-10","Required confounding and leakage boundaries are documented","residual confounding; Technical batch; LDH; Biopsy; External-cohort effects; post-unblinding","All required concepts documented","PASS"
"NO_RETROACTIVE_REDEFINITION","U07/P1-10","QA assessment does not redefine frozen W3-W4 analysis","TRUE","Frozen analytical results remain unchanged","PASS"
