"check_id","criterion","description","status"
"FILE_preprocessing_contract.md","U08/P1-04","Required artifact exists: docs/preprocessing_contract.md","PASS"
"FILE_run_week3.R","U08/P1-04","Required artifact exists: scripts/run_week3.R","PASS"
"FILE_06_nested_cv_strict.R","U08/P1-04","Required artifact exists: scripts/06_nested_cv_strict.R","PASS"
"FILE_run_week4.R","U08/P1-04","Required artifact exists: scripts/run_week4.R","PASS"
"FILE_week4_expression_representation_decision.md","U08/P1-04","Required artifact exists: docs/week4_expression_representation_decision.md","PASS"
"FILE_week4_locked_external_validation.md","U08/P1-04","Required artifact exists: docs/week4_locked_external_validation.md","PASS"
"FILE_GSE160638_raw_counts_PD1_aligned.rds","U08/P1-04","Required artifact exists: data_processed/GSE160638_raw_counts_PD1_aligned.rds","PASS"
"FILE_GSE160638_TableS2A_PD1_clinical.csv","U08/P1-04","Required artifact exists: data_processed/GSE160638_TableS2A_PD1_clinical.csv","PASS"
"FILE_week3_gene_selection_frequency_strict.csv","U08/P1-04","Required artifact exists: results/week3_gene_selection_frequency_strict.csv","PASS"
"FILE_week4_expression_representation_decision_strict.csv","U08/P1-04","Required artifact exists: results/week4_expression_representation_decision_strict.csv","PASS"
"FILE_week4_deployment_freeze_manifest_strict.csv","U08/P1-04","Required artifact exists: results/week4_deployment_freeze_manifest_strict.csv","PASS"
"FILE_week4_external_validation_metrics_strict.csv","U08/P1-04","Required artifact exists: results/week4_external_validation_metrics_strict.csv","PASS"
"CONTRACT_U08","U08","Contract explicitly references U08 preprocessing","PASS"
"CONTRACT_P1_04","P1-04","Contract explicitly references P1-04 transcriptomic preprocessing","PASS"
"CONTRACT_EXPLORATORY_BOUNDARY","U08/P1-04","Week 2 exploratory preprocessing is separated from predictive preprocessing","PASS"
"CONTRACT_TRAINING_ONLY","U08/P1-04","Predictive preprocessing is documented as training-data restricted","PASS"
"CONTRACT_OUTER_TEST","U07/U08/P1-04","Outer-test samples are excluded from preprocessing estimation","PASS"
"CONTRACT_STABILITY_BOUNDARY","P1-09","Stability analysis is separated from independent validation","PASS"
"CONTRACT_SAMPLEWISE_RANK","U08/P1-04","Frozen external representation is documented as samplewise_rank","PASS"
"CONTRACT_UNBLINDING","U07/U08","Post-unblinding modifications are explicitly prohibited","PASS"
"CONTRACT_WEEK3_RUNNER","U13","Week 3 reproduction command is documented","PASS"
"CONTRACT_WEEK4_RUNNER","U13","Week 4 reproduction command is documented","PASS"
"W3_RUNNER_STRICT_IMPLEMENTATION","U13/P1-04","Week 3 runner executes the strict nested-CV implementation","PASS"
"W3_FILTERING_IMPLEMENTED","P1-04","Week 3 strict implementation filters genes inside training partitions","PASS"
"W3_TMM_SELECTION_TRAINING_ONLY","P1-04/P1-05","TMM normalization used for feature ranking is fitted inside training selection","PASS"
"W3_SAMPLEWISE_TRANSFORMATION","U08/P1-04","Predictive expression transformation is sample-wise logCPM","PASS"
"W3_HELDOUT_TRANSFORMATION_INDEPENDENT","U07/U08/P1-04","Held-out expression transformation does not estimate cross-sample parameters","PASS"
"W3_FEATURE_SELECTION_IMPLEMENTED","P1-05","Week 3 code contains partition-specific selected-gene logic","PASS"
"W3_NESTED_STRUCTURE","P1-05/P1-06","Week 3 implementation contains outer/inner CV structure","PASS"
"W4_REP_SAMPLEWISE_RANK","U08/P1-04","Week 4 representation decision records samplewise_rank","PASS"
"W4_REP_LABEL_FREE","U07/U08","Week 4 representation decision documents label-free selection","PASS"
"W4_LOCKED_NO_RESELECTION","U07/P1-05","Locked external validation prohibits gene reselection","PASS"
"W4_LOCKED_NO_REFIT","U07/P1-06","Locked external validation prohibits model refitting","PASS"
"W4_LOCKED_THRESHOLD","U07/P1-06","Locked external validation prohibits external threshold optimization","PASS"
"W4_RUNNER_PRESENT","U13","Week 4 reproducibility runner is present and non-empty","PASS"
